Category,Type,Subcategory,Sub-Subcategory,Mechanical Property Data Source(s),Name,Treatment or Temper,Treatment Temperature (F),Treatment Temperature (C),Minimum Ultimate Tensile Strength (psi),Maximum Ultimate Tensile Strength (psi),Ultimate Tensile Strength (psi),Minimum Yield Strength (psi),Maximum Yield Strength (psi),Yield Strength (psi),Minimum Ultimate Tensile Strength (MPa),Maximum Ultimate Tensile Strength (MPa),Ultimate Tensile Strength (MPa),Minimum Yield Strength (MPa),Maximum Yield Strength (MPa),Yield Strength (MPa),Minimum Elongation (%),Maximum Elongation (%),Elongation (%),Reduction in Cross Sectional Area (%),Brinell Hardness,Rockwell Hardness,Izod Impact Strength (Ft-lb),Izod Impact Strength (N-m),Water Quenched?,Ultimate Shearing Strength (ksi),Ultimate Shearing Strength (Mpa),Endurance limit (ksi),Endurance limit (MPa)
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1095,As-rolled,,,,,140000.0,,,83000.0,,,965.3,,,572.3,,,9.0,18.0,293.0,,3.0,4.1,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1095,Normalized,1650,898.89,,,147000.0,,,72500.0,,,1013.5,,,499.9,,,9.5,13.5,293.0,,4.0,5.4,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1095,Annealed,1450,787.78,,,95250.0,,,55000.0,,,656.7,,,379.2,,,13.0,20.6,192.0,,2.0,2.7,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1117,As-rolled,,,,,70600.0,,,44300.0,,,486.8,,,305.4,,,33.0,63.0,143.0,,60.0,81.4,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1117,Normalized,1650,898.89,,,67750.0,,,44000.0,,,467.1,,,303.4,,,33.5,63.8,137.0,,62.8,85.2,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1117,Annealed,1575,857.22,,,62250.0,,,40500.0,,,429.2,,,279.2,,,32.8,58.0,121.0,,69.0,93.6,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1118,As-rolled,,,,,75600.0,,,45900.0,,,521.2,,,316.5,,,32.0,70.0,149.0,,80.0,108.5,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1118,Normalized,1700,926.67,,,69250.0,,,46250.0,,,477.5,,,318.9,,,33.5,65.9,143.0,,76.3,103.5,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1118,Annealed,1450,787.78,,,65250.0,,,41250.0,,,449.9,,,284.4,,,34.5,66.8,131.0,,78.5,106.4,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1137,As-rolled,,,,,91000.0,,,55000.0,,,627.4,,,379.2,,,28.0,61.0,192.0,,61.0,82.7,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1137,Normalized,1650,898.89,,,97000.0,,,57500.0,,,668.8,,,396.4,,,22.5,48.5,197.0,,47.0,63.7,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1137,Annealed,1450,787.78,,,84750.0,,,50000.0,,,584.3,,,344.7,,,26.8,53.9,174.0,,36.8,49.9,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1141,As-rolled,,,,,98000.0,,,52000.0,,,675.7,,,358.5,,,22.0,38.0,192.0,,8.2,11.1,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1141,Normalized,1650,898.89,,,102500.0,,,58750.0,,,706.7,,,405.1,,,22.7,55.5,201.0,,38.8,52.6,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1141,Annealed,1500,815.56,,,86800.0,,,51200.0,,,598.5,,,353.0,,,25.5,49.3,163.0,,25.3,34.3,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1144,As-rolled,,,,,102000.0,,,61000.0,,,703.3,,,420.6,,,21.0,41.0,212.0,,39.0,52.9,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1144,Normalized,1650,898.89,,,96750.0,,,58000.0,,,667.1,,,399.9,,,21.0,40.4,197.0,,32.0,43.4,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1144,Annealed,1450,787.78,,,84750.0,,,50250.0,,,584.3,,,346.5,,,24.8,41.3,167.0,,48.0,65.1,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",1340,Normalized,1600,871.11,,,121250.0,,,81000.0,,,836.0,,,558.5,,,22.0,62.9,248.0,,68.2,92.5,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",1340,Annealed,1475,801.67,,,102000.0,,,63250.0,,,703.3,,,436.1,,,25.5,57.3,207.0,,52.0,70.5,,,,,
