Category,Type,Subcategory,Sub-Subcategory,Mechanical Property Data Source(s),Name,Treatment or Temper,Treatment Temperature (F),Treatment Temperature (C),Minimum Ultimate Tensile Strength (psi),Maximum Ultimate Tensile Strength (psi),Ultimate Tensile Strength (psi),Minimum Yield Strength (psi),Maximum Yield Strength (psi),Yield Strength (psi),Minimum Ultimate Tensile Strength (MPa),Maximum Ultimate Tensile Strength (MPa),Ultimate Tensile Strength (MPa),Minimum Yield Strength (MPa),Maximum Yield Strength (MPa),Yield Strength (MPa),Minimum Elongation (%),Maximum Elongation (%),Elongation (%),Reduction in Cross Sectional Area (%),Brinell Hardness,Rockwell Hardness,Izod Impact Strength (Ft-lb),Izod Impact Strength (N-m),Water Quenched?,Ultimate Shearing Strength (ksi),Ultimate Shearing Strength (Mpa),Endurance limit (ksi),Endurance limit (MPa)
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1050,Tempered,600.00,315.56,,,158000.0,,,115000.0,,,1089.4,,,792.9,,,13.0,36.0,444.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1050,Tempered,800.00,426.67,,,145000.0,,,110000.0,,,999.7,,,758.4,,,19.0,48.0,375.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1050,Tempered,1000.00,537.78,,,125000.0,,,95000.0,,,861.8,,,655.0,,,23.0,58.0,293.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1050,Tempered,1200.00,648.89,,,104000.0,,,78000.0,,,717.1,,,537.8,,,28.0,65.0,235.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1050,Tempered,600.00,315.56,,,142000.0,,,105000.0,,,979.1,,,723.9,,,14.0,47.0,321.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1050,Tempered,800.00,426.67,,,136000.0,,,95000.0,,,937.7,,,655.0,,,20.0,50.0,277.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1050,Tempered,1000.00,537.78,,,127000.0,,,84000.0,,,875.6,,,579.2,,,23.0,53.0,262.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1050,Tempered,1200.00,648.89,,,107000.0,,,68000.0,,,737.7,,,468.8,,,29.0,60.0,223.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1060,Tempered,400.00,204.44,,,160000.0,,,113000.0,,,1103.2,,,779.1,,,13.0,40.0,321.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1060,Tempered,600.00,315.56,,,160000.0,,,113000.0,,,1103.2,,,779.1,,,13.0,40.0,321.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1060,Tempered,800.00,426.67,,,156000.0,,,111000.0,,,1075.6,,,765.3,,,14.0,41.0,311.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1060,Tempered,1000.00,537.78,,,140000.0,,,97000.0,,,965.3,,,668.8,,,17.0,45.0,277.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1060,Tempered,1200.00,648.89,,,116000.0,,,76000.0,,,799.8,,,524.0,,,23.0,54.0,229.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1080,Tempered,400.00,204.44,,,190000.0,,,142000.0,,,1310.0,,,979.1,,,12.0,35.0,388.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1080,Tempered,600.00,315.56,,,189000.0,,,142000.0,,,1303.1,,,979.1,,,12.0,35.0,388.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1080,Tempered,800.00,426.67,,,187000.0,,,138000.0,,,1289.3,,,951.5,,,13.0,36.0,375.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1080,Tempered,1000.00,537.78,,,164000.0,,,117000.0,,,1130.7,,,806.7,,,16.0,40.0,321.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1080,Tempered,1200.00,648.89,,,129000.0,,,87000.0,,,889.4,,,599.8,,,21.0,50.0,255.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1095,Tempered,400.00,204.44,,,216000.0,,,152000.0,,,1489.3,,,1048.0,,,10.0,31.0,601.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1095,Tempered,600.00,315.56,,,212000.0,,,150000.0,,,1461.7,,,1034.2,,,11.0,33.0,534.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1095,Tempered,800.00,426.67,,,199000.0,,,139000.0,,,1372.1,,,958.4,,,13.0,35.0,388.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1095,Tempered,1000.00,537.78,,,165000.0,,,110000.0,,,1137.6,,,758.4,,,15.0,40.0,293.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1095,Tempered,1200.00,648.89,,,122000.0,,,85000.0,,,841.2,,,586.1,,,20.0,47.0,235.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1095,Tempered,400.00,204.44,,,187000.0,,,120000.0,,,1289.3,,,827.4,,,10.0,30.0,401.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1095,Tempered,600.00,315.56,,,183000.0,,,118000.0,,,1261.7,,,813.6,,,10.0,30.0,375.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1095,Tempered,800.00,426.67,,,176000.0,,,112000.0,,,1213.5,,,772.2,,,12.0,32.0,363.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1095,Tempered,1000.00,537.78,,,158000.0,,,98000.0,,,1089.4,,,675.7,,,15.0,37.0,321.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1095,Tempered,1200.00,648.89,,,130000.0,,,80000.0,,,896.3,,,551.6,,,21.0,47.0,269.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1137,Tempered,400.00,204.44,,,157000.0,,,136000.0,,,1082.5,,,937.7,,,5.0,22.0,352.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1137,Tempered,600.00,315.56,,,143000.0,,,122000.0,,,986.0,,,841.2,,,10.0,33.0,285.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1137,Tempered,800.00,426.67,,,127000.0,,,106000.0,,,875.6,,,730.8,,,15.0,48.0,262.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1137,Tempered,1000.00,537.78,,,110000.0,,,88000.0,,,758.4,,,606.7,,,24.0,62.0,229.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1137,Tempered,1200.00,648.89,,,95000.0,,,70000.0,,,655.0,,,482.6,,,28.0,69.0,197.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",1137,Tempered,400.00,204.44,,,217000.0,,,169000.0,,,1496.2,,,1165.2,,,5.0,17.0,415.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",1137,Tempered,600.00,315.56,,,199000.0,,,163000.0,,,1372.1,,,1123.8,,,9.0,25.0,375.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",1137,Tempered,800.00,426.67,,,160000.0,,,143000.0,,,1103.2,,,986.0,,,14.0,40.0,311.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",1137,Tempered,1000.00,537.78,,,120000.0,,,105000.0,,,827.4,,,723.9,,,19.0,60.0,262.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",1137,Tempered,1200.00,648.89,,,94000.0,,,77000.0,,,648.1,,,530.9,,,25.0,69.0,187.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",1141,Tempered,400.00,204.44,,,237000.0,,,176000.0,,,1634.1,,,1213.5,,,6.0,17.0,461.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",1141,Tempered,600.00,315.56,,,212000.0,,,186000.0,,,1461.7,,,1282.4,,,9.0,32.0,415.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",1141,Tempered,800.00,426.67,,,169000.0,,,150000.0,,,1165.2,,,1034.2,,,12.0,47.0,331.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",1141,Tempered,1000.00,537.78,,,130000.0,,,111000.0,,,896.3,,,765.3,,,18.0,57.0,262.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",1141,Tempered,1200.00,648.89,,,103000.0,,,86000.0,,,710.2,,,592.9,,,23.0,62.0,217.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",1144,Tempered,400.00,204.44,,,127000.0,,,91000.0,,,875.6,,,627.4,,,17.0,36.0,277.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",1144,Tempered,600.00,315.56,,,126000.0,,,90000.0,,,868.7,,,620.5,,,17.0,40.0,262.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",1144,Tempered,800.00,426.67,,,123000.0,,,88000.0,,,848.1,,,606.7,,,18.0,42.0,248.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",1144,Tempered,1000.00,537.78,,,117000.0,,,83000.0,,,806.7,,,572.3,,,20.0,46.0,235.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",1144,Tempered,1200.00,648.89,,,105000.0,,,73000.0,,,723.9,,,503.3,,,23.0,55.0,217.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",1330,Tempered,400.00,204.44,,,232000.0,,,211000.0,,,1599.6,,,1454.8,,,9.0,39.0,459.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",1330,Tempered,600.00,315.56,,,207000.0,,,186000.0,,,1427.2,,,1282.4,,,9.0,44.0,402.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",1330,Tempered,800.00,426.67,,,168000.0,,,150000.0,,,1158.3,,,1034.2,,,15.0,53.0,335.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",1330,Tempered,1000.00,537.78,,,127000.0,,,112000.0,,,875.6,,,772.2,,,18.0,60.0,263.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",1330,Tempered,1200.00,648.89,,,106000.0,,,83000.0,,,730.8,,,572.3,,,23.0,63.0,216.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",1340,Tempered,400.00,204.44,,,262000.0,,,231000.0,,,1806.4,,,1592.7,,,11.0,35.0,505.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",1340,Tempered,600.00,315.56,,,230000.0,,,206000.0,,,1585.8,,,1420.3,,,12.0,43.0,453.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",1340,Tempered,800.00,426.67,,,183000.0,,,167000.0,,,1261.7,,,1151.4,,,14.0,51.0,375.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",1340,Tempered,1000.00,537.78,,,140000.0,,,120000.0,,,965.3,,,827.4,,,17.0,58.0,295.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",1340,Tempered,1200.00,648.89,,,116000.0,,,90000.0,,,799.8,,,620.5,,,22.0,66.0,252.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4037,Tempered,400.00,204.44,,,149000.0,,,110000.0,,,1027.3,,,758.4,,,6.0,38.0,310.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4037,Tempered,600.00,315.56,,,138000.0,,,111000.0,,,951.5,,,765.3,,,14.0,53.0,295.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4037,Tempered,800.00,426.67,,,127000.0,,,106000.0,,,875.6,,,730.8,,,20.0,60.0,270.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4037,Tempered,1000.00,537.78,,,115000.0,,,95000.0,,,792.9,,,655.0,,,23.0,63.0,247.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4037,Tempered,1200.00,648.89,,,101000.0,,,61000.0,,,696.4,,,420.6,,,29.0,60.0,220.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4042,Tempered,400.00,204.44,,,261000.0,,,241000.0,,,1799.5,,,1661.6,,,12.0,37.0,516.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4042,Tempered,600.00,315.56,,,234000.0,,,211000.0,,,1613.4,,,1454.8,,,13.0,42.0,455.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4042,Tempered,800.00,426.67,,,187000.0,,,170000.0,,,1289.3,,,1172.1,,,15.0,51.0,380.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4042,Tempered,1000.00,537.78,,,143000.0,,,128000.0,,,986.0,,,882.5,,,20.0,59.0,300.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4042,Tempered,1200.00,648.89,,,115000.0,,,100000.0,,,792.9,,,689.5,,,28.0,66.0,238.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4130,Tempered,400.00,204.44,,,236000.0,,,212000.0,,,1627.2,,,1461.7,,,10.0,41.0,467.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4130,Tempered,600.00,315.56,,,217000.0,,,200000.0,,,1496.2,,,1379.0,,,11.0,43.0,435.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4130,Tempered,800.00,426.67,,,186000.0,,,173000.0,,,1282.4,,,1192.8,,,13.0,49.0,380.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4130,Tempered,1000.00,537.78,,,150000.0,,,132000.0,,,1034.2,,,910.1,,,17.0,57.0,315.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4130,Tempered,1200.00,648.89,,,118000.0,,,102000.0,,,813.6,,,703.3,,,22.0,64.0,245.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4140,Tempered,400.00,204.44,,,257000.0,,,238000.0,,,1772.0,,,1641.0,,,8.0,38.0,510.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4140,Tempered,600.00,315.56,,,225000.0,,,208000.0,,,1551.3,,,1434.1,,,9.0,43.0,445.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4140,Tempered,800.00,426.67,,,181000.0,,,165000.0,,,1248.0,,,1137.6,,,13.0,49.0,370.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4140,Tempered,1000.00,537.78,,,138000.0,,,121000.0,,,951.5,,,834.3,,,18.0,58.0,285.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4140,Tempered,1200.00,648.89,,,110000.0,,,95000.0,,,758.4,,,655.0,,,22.0,63.0,230.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4150,Tempered,400.00,204.44,,,280000.0,,,250000.0,,,1930.5,,,1723.7,,,10.0,39.0,530.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4150,Tempered,600.00,315.56,,,256000.0,,,231000.0,,,1765.1,,,1592.7,,,10.0,40.0,495.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4150,Tempered,800.00,426.67,,,220000.0,,,200000.0,,,1516.8,,,1379.0,,,12.0,45.0,440.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4150,Tempered,1000.00,537.78,,,175000.0,,,160000.0,,,1206.6,,,1103.2,,,15.0,52.0,370.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4150,Tempered,1200.00,648.89,,,139000.0,,,122000.0,,,958.4,,,841.2,,,19.0,60.0,290.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4340,Tempered,400.00,204.44,,,272000.0,,,243000.0,,,1875.4,,,1675.4,,,10.0,38.0,520.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4340,Tempered,600.00,315.56,,,250000.0,,,230000.0,,,1723.7,,,1585.8,,,10.0,40.0,486.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4340,Tempered,800.00,426.67,,,213000.0,,,198000.0,,,1468.6,,,1365.2,,,10.0,44.0,430.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4340,Tempered,1000.00,537.78,,,170000.0,,,156000.0,,,1172.1,,,1075.6,,,13.0,51.0,360.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 469",4340,Tempered,1200.00,648.89,,,140000.0,,,124000.0,,,965.3,,,855.0,,,19.0,60.0,280.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",5046,Tempered,400.00,204.44,,,253000.0,,,204000.0,,,1744.4,,,1406.5,,,9.0,25.0,482.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",5046,Tempered,600.00,315.56,,,205000.0,,,168000.0,,,1413.4,,,1158.3,,,10.0,37.0,401.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",5046,Tempered,800.00,426.67,,,165000.0,,,135000.0,,,1137.6,,,930.8,,,13.0,50.0,336.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",5046,Tempered,1000.00,537.78,,,136000.0,,,111000.0,,,937.7,,,765.3,,,18.0,61.0,282.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",5046,Tempered,1200.00,648.89,,,114000.0,,,95000.0,,,786.0,,,655.0,,,24.0,66.0,235.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",50B46,Tempered,400.00,204.44,,,,,,,,,,,,,,,,,560.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",50B46,Tempered,600.00,315.56,,,258000.0,,,235000.0,,,1778.8,,,1620.3,,,10.0,37.0,505.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",50B46,Tempered,800.00,426.67,,,202000.0,,,181000.0,,,1392.7,,,1248.0,,,13.0,47.0,405.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",50B46,Tempered,1000.00,537.78,,,157000.0,,,142000.0,,,1082.5,,,979.1,,,17.0,51.0,322.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",50B46,Tempered,1200.00,648.89,,,128000.0,,,115000.0,,,882.5,,,792.9,,,22.0,60.0,273.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",50B60,Tempered,400.00,204.44,,,,,,,,,,,,,,,,,600.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",50B60,Tempered,600.00,315.56,,,273000.0,,,257000.0,,,1882.3,,,1772.0,,,8.0,32.0,525.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",50B60,Tempered,800.00,426.67,,,219000.0,,,201000.0,,,1510.0,,,1385.8,,,11.0,34.0,435.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",50B60,Tempered,1000.00,537.78,,,163000.0,,,145000.0,,,1123.8,,,999.7,,,15.0,38.0,350.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",50B60,Tempered,1200.00,648.89,,,130000.0,,,113000.0,,,896.3,,,779.1,,,19.0,50.0,290.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",5130,Tempered,400.00,204.44,,,234000.0,,,220000.0,,,1613.4,,,1516.8,,,10.0,40.0,475.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",5130,Tempered,600.00,315.56,,,217000.0,,,204000.0,,,1496.2,,,1406.5,,,10.0,46.0,440.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",5130,Tempered,800.00,426.67,,,185000.0,,,175000.0,,,1275.5,,,1206.6,,,12.0,51.0,379.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",5130,Tempered,1000.00,537.78,,,150000.0,,,136000.0,,,1034.2,,,937.7,,,15.0,56.0,305.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",5130,Tempered,1200.00,648.89,,,115000.0,,,100000.0,,,792.9,,,689.5,,,20.0,63.0,245.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",5140,Tempered,400.00,204.44,,,260000.0,,,238000.0,,,1792.6,,,1641.0,,,9.0,38.0,490.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",5140,Tempered,600.00,315.56,,,229000.0,,,210000.0,,,1578.9,,,1447.9,,,10.0,43.0,450.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",5140,Tempered,800.00,426.67,,,190000.0,,,170000.0,,,1310.0,,,1172.1,,,13.0,50.0,365.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",5140,Tempered,1000.00,537.78,,,145000.0,,,125000.0,,,999.7,,,861.8,,,17.0,58.0,280.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",5140,Tempered,1200.00,648.89,,,110000.0,,,96000.0,,,758.4,,,661.9,,,25.0,66.0,235.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",5150,Tempered,400.00,204.44,,,282000.0,,,251000.0,,,1944.3,,,1730.6,,,5.0,37.0,525.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",5150,Tempered,600.00,315.56,,,252000.0,,,230000.0,,,1737.5,,,1585.8,,,6.0,40.0,475.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",5150,Tempered,800.00,426.67,,,210000.0,,,190000.0,,,1447.9,,,1310.0,,,9.0,47.0,410.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",5150,Tempered,1000.00,537.78,,,163000.0,,,150000.0,,,1123.8,,,1034.2,,,15.0,54.0,340.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",5150,Tempered,1200.00,648.89,,,117000.0,,,118000.0,,,806.7,,,813.6,,,20.0,60.0,270.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",5160,Tempered,400.00,204.44,,,322000.0,,,260000.0,,,2220.1,,,1792.6,,,4.0,10.0,627.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",5160,Tempered,600.00,315.56,,,290000.0,,,257000.0,,,1999.5,,,1772.0,,,9.0,30.0,555.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",5160,Tempered,800.00,426.67,,,233000.0,,,212000.0,,,1606.5,,,1461.7,,,10.0,37.0,461.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 470",5160,Tempered,1000.00,537.78,,,169000.0,,,151000.0,,,1165.2,,,1041.1,,,12.0,47.0,341.0,,,,,,,,
