Category,Type,Subcategory,Mechanical Property Data Source(s),Name,Treatment or temper,"Ultimate Tensile Strength
(psi)","Ultimate Yield Strength
(psi)","Ultimate Tensile Strength
(Mpa)","Ultimate Yield Strength
(Mpa)",Elongation (%),"Reduction in Cross Sectional Area
(%)",Brinell Hardness,"Izod Impact Stength
(Ft-lb)","Izod Impact Stength
(N-m)","Ultimate Shearing Strength
(ksi)","Ultimate Shearing Strength
(Mpa)","Endurance limit
(ksi)","Endurance limit
(MPa)"
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",354.0-T61,,48,37,330.95,255.11,3,,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",354.0-T62,,52,42,358.53,289.58,2,,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",355.0-T51,,27,,186.16,,,75,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",355.0-T6,,37,,255.11,,1.5,90,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",355.0-T62,,42,,289.58,,,105,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",355.0-T7,,36,,248.21,,,85,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",355.0-T71,,34,27,234.42,186.16,,80,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",C355.0.0-T61,,40,30,275.79,206.84,3,90,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",356.0-F,,21,,144.79,,3,55,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",356.0-T51,,25,,172.37,,,70,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",356.0-T6,,33,22,227.53,151.68,3,80,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",356.0-T7,,25,,172.37,,3,75,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",356.0-T71,,25,,172.37,,3,75,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",A356.0.0-T61,,37,26,255.11,179.26,5,85,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",357.0-T6,,45,,310.26,,3,90,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",A357.0.0-T61,,45,36,310.26,248.21,3,100,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",359.0-T61,,45,34,310.26,234.42,4,90,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",359.0-T62,,47,38,324.05,262,3,100,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",443.0-F,,21,7,144.79,48.26,2,45,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",B443.0.0-F,,21,6,144.79,41.37,2.5,45,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",A444.0.0-T4,,20,,137.9,,20,,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",513.0-F,,22,12,151.68,82.74,2.5,60,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",535.0-F,,35,18,241.32,124.11,8,75,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",705.0-T5,,37,17,255.11,117.21,10,70,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",707.0-T7,,45,35,310.26,241.32,3,95,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",711.0-T1,,28,18,193.05,124.11,7,70,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",713.0-T5,,32,22,220.63,151.68,4,75,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",850.0-T5,,18,,124.11,,8,45,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",851.0-T5,,17,,117.21,,3,45,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",851.0-T6,,18,,124.11,,8,,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",852.0-T5,,27,,186.16,,3,70,,,,,,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",1060-O,,10,4,68.95,27.58,43,19,,,,7,48.26,3,20.68
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",1060-H12,,12,11,82.74,75.84,16,23,,,,8,55.16,4,27.58
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",1060-H14,,14,13,96.53,89.63,12,26,,,,9,62.05,5,34.47
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",1060-H16,,16,15,110.32,103.42,8,30,,,,10,68.95,6.5,44.82
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",1060-H18,,19,18,131,124.11,6,35,,,,11,75.84,6.5,44.82
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",1100-O,,13,5,89.63,34.47,40,23,,,,9,62.05,5,34.47
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",1100-H12,,16,15,110.32,103.42,18.5,28,,,,10,68.95,6,41.37
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",1100-H14,,18,17,124.11,117.21,14.5,32,,,,11,75.84,7,48.26
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",1100-H16,,21,20,144.79,137.9,11.5,38,,,,12,82.74,9,62.05
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",1100-H18,,24,22,165.47,151.68,10,44,,,,13,89.63,9,62.05
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",1350-O,,12,4,82.74,27.58,,,,,,8,55.16,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",1350-H12,,14,12,96.53,82.74,,,,,,9,62.05,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",1350-H14,,16,14,110.32,96.53,,,,,,10,68.95,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",1350-H16,,18,16,124.11,110.32,,,,,,11,75.84,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",1350-H19,,27,24,186.16,165.47,,,,,,15,103.42,7,48.26
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",2011-T3,,55,43,379.21,296.47,15,95,,,,32,220.63,18,124.11
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",2011-T8,,59,45,406.79,310.26,12,100,,,,35,241.32,18,124.11
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",2014-O,,27,14,186.16,96.53,18,45,,,,18,124.11,13,89.63
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580","2014-T4, T451",,62,42,427.48,289.58,20,105,,,,38,262,20,137.9
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580","2014-T6, T651",,70,60,482.63,413.69,13,135,,,,42,289.58,18,124.11
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",Alclad 2014-O,,25,10,172.37,68.95,21,,,,,18,124.11,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",Alclad 2014-T3,,63,40,434.37,275.79,20,,,,,37,255.11,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580","Alclad 2014-T4, T451",,61,37,420.58,255.11,22,,,,,37,255.11,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580","Alclad 2014-T6, T651",,68,60,468.84,413.69,10,,,,,41,282.69,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",2017-O,,26,10,179.26,68.95,22,45,,,,18,124.11,13,89.63
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580","2017-T4, T451",,62,40,427.48,275.79,22,105,,,,38,262,18,124.11
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",2018-T61,,61,46,420.58,317.16,12,120,,,,39,268.9,17,117.21
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",2024-O,,27,11,186.16,75.84,21,47,,,,18,124.11,13,89.63
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",2024-T3,,70,50,482.63,344.74,18,120,,,,41,282.69,20,137.9
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580","2024-T4, T351",,68,47,468.84,324.05,19.5,120,,,,41,282.69,20,137.9
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",2024-T361d,,72,57,496.42,393,13,130,,,,42,289.58,18,124.11
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",Alclad 2024-O,,26,11,179.26,75.84,20,,,,,18,124.11,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",Alclad 2024-T3,,65,45,448.16,310.26,18,,,,,40,275.79,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580","Alclad 2024-T4, T351",,64,42,441.26,289.58,19,,,,,40,275.79,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",Alclad 2024-T361,,67,53,461.95,365.42,11,,,,,41,282.69,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580","Alclad 2024-T81, T851",,65,60,448.16,413.69,6,,,,,40,275.79,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",Alclad 2024-T861,,70,66,482.63,455.05,6,,,,,42,289.58,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",2025-T6,,58,37,399.9,255.11,19,110,,,,35,241.32,18,124.11
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",2036-T4,,49,28,337.84,193.05,24,,,,,,,18e,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",2117-T4,,43,24,296.47,165.47,27,70,,,,28,193.05,14,96.53
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",2218-T72,,48,37,330.95,255.11,11,95,,,,30,206.84,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",2219-O,,25,11,172.37,75.84,18,,,,,,,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",2219-T42,,52,27,358.53,186.16,20,,,,,,,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580","2219-T31, T351",,52,36,358.53,248.21,17,,,,,,,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",2219-T37,,57,46,393,317.16,11,,,,,,,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",2219-T62,,60,42,413.69,289.58,10,,,,,,,15,103.42
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580","2219-T81, T851",,66,51,455.05,351.63,10,,,,,,,15,103.42
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",2219-T87,,69,57,475.74,393,10,,,,,,,15,103.42
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 580",3003-O,,16,6,110.32,41.37,35,28,,,,11,75.84,7,48.26
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",3003-H12,,19,18,131,124.11,15,35,,,,12,82.74,8,55.16
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",3003-H14,,22,21,151.68,144.79,12,40,,,,14,96.53,9,62.05
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",3003-H16,,26,25,179.26,172.37,9.5,47,,,,15,103.42,10,68.95
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",3003-H18,,29,27,199.95,186.16,7,55,,,,16,110.32,10,68.95
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",Alclad 3003-O,,16,6,110.32,41.37,35,,,,,11,75.84,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",Alclad 3003-H12,,19,18,131,124.11,15,,,,,12,82.74,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",Alclad 3003-H14,,22,21,151.68,144.79,12,,,,,14,96.53,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",Alclad 3003-H16,,26,25,179.26,172.37,9.5,,,,,15,103.42,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",Alclad 3003-H18,,29,27,199.95,186.16,7,,,,,16,110.32,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",3004-O,,26,10,179.26,68.95,22.5,45,,,,16,110.32,14,96.53
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",3004-H32,,31,25,213.74,172.37,13.5,52,,,,17,117.21,15,103.42
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",3004-H34,,35,29,241.32,199.95,10.5,63,,,,18,124.11,15,103.42
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",3004-H36,,38,33,262,227.53,7,70,,,,20,137.9,16,110.32
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",3004-H38,,41,36,282.69,248.21,5.5,77,,,,21,144.79,16,110.32
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",Alclad 3004-O,,26,10,179.26,68.95,22.5,,,,,16,110.32,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",Alclad 3004-H32,,31,25,213.74,172.37,13.5,,,,,17,117.21,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",Alclad 3004-H34,,35,29,241.32,199.95,10.5,,,,,18,124.11,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",Alclad 3004-H36,,38,33,262,227.53,7,,,,,20,137.9,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",Alclad 3004-H38,,41,36,282.69,248.21,5.5,,,,,21,144.79,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",3105-O,,17,8,117.21,55.16,24,,,,,12,82.74,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",3105-H12,,22,19,151.68,131,7,,,,,14,96.53,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",3105-H14,,25,22,172.37,151.68,5,,,,,15,103.42,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",3105-H16,,28,25,193.05,172.37,4,,,,,16,110.32,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",3105-H18,,31,28,213.74,193.05,3,,,,,17,117.21,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",3105-H25,,26,23,179.26,158.58,8,,,,,15,103.42,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",4032-T6,,55,46,379.21,317.16,9,120,,,,38,262,16,110.32
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",5005-O,,18,6,124.11,41.37,25,28,,,,11,75.84,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",5005-H12,,20,19,137.9,131,10,,,,,14,96.53,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",5005-H14,,23,22,158.58,151.68,6,,,,,14,96.53,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",5005-H16,,26,25,179.26,172.37,5,,,,,15,103.42,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",5005-H18,,29,28,199.95,193.05,4,,,,,16,110.32,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",5005-H32,,20,17,137.9,117.21,11,36,,,,14,96.53,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",5005-H34,,23,20,158.58,137.9,8,41,,,,14,96.53,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",5005-H36,,26,24,179.26,165.47,6,46,,,,15,103.42,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",5005-H38,,29,27,199.95,186.16,5,51,,,,16,110.32,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",5050-O,,21,8,144.79,55.16,24,36,,,,15,103.42,12,82.74
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",5050-H32,,25,21,172.37,144.79,9,46,,,,17,117.21,13,89.63
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",5050-H34,,28,24,193.05,165.47,8,53,,,,18,124.11,13,89.63
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",5050-H36,,30,26,206.84,179.26,7,58,,,,19,131,14,96.53
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",5050-H38,,32,29,220.63,199.95,6,63,,,,20,137.9,14,96.53
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",5052-O,,28,13,193.05,89.63,27.5,47,,,,18,124.11,16,110.32
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",5052-H32,,33,28,227.53,193.05,15,60,,,,20,137.9,17,117.21
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",5052-H34,,38,31,262,213.74,12,68,,,,21,144.79,18,124.11
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",5052-H36,,40,35,275.79,241.32,9,73,,,,23,158.58,19,131
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",5052-H38,,42,37,289.58,255.11,7.5,77,,,,24,165.47,20,137.9
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",5056-O,,42,22,289.58,151.68,35,65,,,,26,179.26,20,137.9
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",5056-H18,,63,59,434.37,406.79,10,105,,,,34,234.42,22,151.68
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",5056-H38,,60,50,413.69,344.74,15,100,,,,32,220.63,22,151.68
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 581",5083-O,,42,21,289.58,144.79,22,,,,,25,172.37,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5086-O,,38,17,262,117.21,22,,,,,23,158.58,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582","5086-H32, H116",,42,42,289.58,289.58,21,,,,,,,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5086-H34,,47,37,324.05,255.11,10,,,,,27,186.16,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5086-H112,,39,19,268.9,131,14,,,,,,,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5154-O,,35,17,241.32,117.21,27,58,,,,22,151.68,17,117.21
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5154-H32,,39,30,268.9,206.84,15,67,,,,22,151.68,18,124.11
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5154-H34,,42,33,289.58,227.53,13,73,,,,24,165.47,19,131
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5154-H36,,45,36,310.26,248.21,12,78,,,,26,179.26,20,137.9
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5154-H38,,48,39,330.95,268.9,10,80,,,,28,193.05,21,144.79
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5154-H112,,35,17,241.32,117.21,25,63,,,,,,17,117.21
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5252-H25,,34,25,234.42,172.37,11,68,,,,21,144.79,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582","5252-H38, H28",,41,41,282.69,282.69,20,,,,,75,517.11,23,158.58
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5254-O,,35,17,241.32,117.21,27,58,,,,22,151.68,17,117.21
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5254-H32,,39,30,268.9,206.84,15,67,,,,22,151.68,18,124.11
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5254-H34,,42,33,289.58,227.53,13,73,,,,24,165.47,19,131
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5254-H36,,45,36,310.26,248.21,12,78,,,,26,179.26,20,137.9
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5254-H38,,48,39,330.95,268.9,10,80,,,,28,193.05,21,144.79
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5254-H112,,35,17,241.32,117.21,25,63,,,,,,17,117.21
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5454-O,,36,17,248.21,117.21,22,62,,,,23,158.58,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5454-H32,,40,30,275.79,206.84,10,73,,,,24,165.47,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5454-H34,,44,35,303.37,241.32,10,81,,,,26,179.26,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5454-H111,,38,26,262,179.26,14,70,,,,23,158.58,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5454-H112,,36,18,248.21,124.11,18,62,,,,23,158.58,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5456-O,,45,23,310.26,158.58,24,,,,,,,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5456-H112,,45,24,310.26,165.47,22,,,,,,,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582","5456-H321, H116",,51,51,351.63,351.63,37,16,,,,90,620.53,30,206.84
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5457-O,,19,7,131,48.26,22,32,,,,12,82.74,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5457-H25,,26,23,179.26,158.58,12,48,,,,16,110.32,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582","5457-H38, H28",,30,30,206.84,206.84,16.5,,,,,55,379.21,18,124.11
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5652-O,,28,13,193.05,89.63,27.5,47,,,,18,124.11,16,110.32
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5652-H32,,33,28,227.53,193.05,15,60,,,,20,137.9,17,117.21
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5652-H34,,38,31,262,213.74,12,68,,,,21,144.79,18,124.11
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5652-H36,,40,35,275.79,241.32,9,73,,,,23,158.58,19,131
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5652-H38,,42,37,289.58,255.11,7.5,77,,,,24,165.47,20,137.9
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",5657-H25,,23,20,158.58,137.9,12,40,,,,14,96.53,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582","5657-H38, H28",,,28,,193.05,15.5,,,,,50,344.74,15,103.42
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",6061-O,,18,8,124.11,55.16,27.5,30,,,,12,82.74,9,62.05
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582","6061-T4, T451",,35,35,241.32,241.32,21.5,25,,,,65,448.16,24,165.47
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582","6061-T6, T651",,45,45,310.26,310.26,26,17,,,,95,655,30,206.84
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",6063-T1,,22,13,151.68,89.63,20,42,,,,14,96.53,9,62.05
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",6063-T4,,25,13,172.37,89.63,22,,,,,,,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",6063-T5,,27,21,186.16,144.79,12,60,,,,17,117.21,10,68.95
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",6063-T6,,35,31,241.32,213.74,12,73,,,,22,151.68,10,68.95
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",6063-T83,,37,35,255.11,241.32,9,82,,,,22,151.68,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",6063-T831,,30,27,206.84,186.16,10,70,,,,18,124.11,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 582",6063-T832,,42,39,289.58,268.9,12,95,,,,27,186.16,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 583",6066-O,,22,12,151.68,82.74,18,43,,,,14,96.53,,
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 584","6066-T4, T451",,52,30,358.53,206.84,41,,,,,18,124.11,90,620.53
Metal,Aluminium,Wrought Alloys,"Machinery's Handbook 27th edition, Pg. 585","6066-T6, T651",,57,52,393,358.53,52,12,,,,120,827.37,34,234.42
