Category,Type,Subcategory,Mechanical Property Data Source(s),Name,Treatment or temper,"Ultimate Tensile Strength
(psi)","Ultimate Yield Strength
(psi)","Ultimate Tensile Strength
(Mpa)","Ultimate Yield Strength
(Mpa)",Elongation (%),"Reduction in Cross Sectional Area
(%)",Brinell Hardness,"Izod Impact Stength
(Ft-lb)","Izod Impact Stength
(N-m)","Ultimate Shearing Strength
(ksi)","Ultimate Shearing Strength
(Mpa)","Endurance limit
(ksi)","Endurance limit
(MPa)"
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 466",1118,Annealed(1450F),"65,250","41,250",449.88,284.41,34.5,66.8,131,78.5,106.45,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 466",1137,As-rolled,"91,000","55,000",627.42,379.21,28,61,192,61,82.72,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 466",1137,Normalized(1650F),"97,000","57,500",668.79,396.45,22.5,48.5,197,47,63.73,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 466",1137,Annealed(1450F),"84,750","50,000",584.33,344.74,26.8,53.9,174,36.8,49.9,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 466",1141,As-rolled,"98,000","52,000",675.69,358.53,22,38,192,8.2,11.12,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 466",1141,Normalized(1650F),"102,500","58,750",706.71,405.07,22.7,55.5,201,38.8,52.61,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 466",1141,Annealed(1500F),"86,800","51,200",598.47,353.01,25.5,49.3,163,25.3,34.31,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 466",1144,As-rolled,"102,000","61,000",703.27,420.58,21,41,212,39,52.88,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 466",1144,Normalized(1650F),"96,750","58,000",667.07,399.9,21,40.4,197,32,43.39,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 466",1144,Annealed(1450F),"84,750","50,250",584.33,346.46,24.8,41.3,167,48,65.09,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",1340,Normalized(1600F),"121,250","81,000",835.99,558.48,22,62.9,248,68.2,92.48,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",1340,Annealed(1475F),"102,000","63,250",703.27,436.09,25.5,57.3,207,52,70.51,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",3140,Normalized(1600F),"129,250","87,000",891.15,599.84,19.7,57.3,262,39.5,53.56,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",3140,Annealed(1500F),"100,000","61,250",689.48,422.3,24.5,50.8,197,34.2,46.38,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",4130,Normalized(1600F),"97,000","63,250",668.79,436.09,25.5,59.5,197,63.7,86.38,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",4130,Annealed(1585F),"81,250","52,250",560.2,360.25,28.2,55.6,156,45.5,61.7,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",4140,Normalized(1600F),"148,000","95,000",1020.42,655,17.7,46.8,302,16.7,22.65,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",4140,Annealed(1500F),"95,000","60,500",655,417.13,25.7,56.9,197,40.2,54.51,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",4150,Normalized(1600F),"167,500","106,500",1154.87,734.29,11.7,30.8,321,8.5,11.53,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",4150,Annealed(1500F),"105,750","55,000",729.12,379.21,20.2,40.2,197,18.2,24.68,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",4320,Normalized(1640F),"115,000","67,250",792.9,463.67,20.8,50.7,235,53.8,72.95,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",4320,Annealed(1560F),"84,000","61,625",579.16,424.89,29,58.4,163,81,109.84,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",4340,Normalized(1600F),"185,500","125,000",1278.98,861.85,12.2,36.3,363,11.7,15.87,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",4340,Annealed(1490F),"108,000","68,500",744.63,472.29,22,49.9,217,37.7,51.12,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",4620,Normalized(1650F),"83,250","53,125",573.99,366.28,29,66.7,174,98,132.89,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",4620,Annealed(1575F),"74,250","54,000",511.94,372.32,31.3,60.3,149,69,93.56,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",4820,Normalized(1580F),"109,500","70,250",754.98,484.36,24,59.2,229,81,109.84,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",4820,Annealed(1500F),"98,750","67,250",680.86,463.67,22.3,58.8,197,68.5,92.89,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",5140,Normalized(1600F),"115,000","68,500",792.9,472.29,22.7,59.2,229,28,37.97,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",5140,Annealed(1525F),"83,000","42,500",572.27,293.03,28.6,57.3,167,30,40.68,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",5150,Normalized(1600F),"126,250","76,750",870.46,529.17,20.7,58.7,255,23.2,31.46,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",5150,Annealed(1520F),"98,000","51,750",675.69,356.8,22,43.7,197,18.5,25.09,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",5160,Normalized(1575F),"138,750","77,000",956.65,530.9,17.5,44.8,269,8,10.85,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",5160,Annealed(1495F),"104,750","40,000",722.23,275.79,17.2,30.6,197,7.4,10.03,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",6150,Normalized(1600F),"136,250","89,250",939.41,615.36,21.8,61,269,26.2,35.53,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",6150,Annealed(1500F),"96,750","59,750",667.07,411.96,23,48.4,197,20.2,27.39,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",8620,Normalized(1675F),"91,750","51,750",632.59,356.8,26.3,59.7,183,73.5,99.67,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",8620,Annealed(1600F),"77,750","55,875",536.07,385.24,31.3,62.1,149,82.8,112.28,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",8630,Normalized(1600F),"94,250","62,250",649.83,429.2,23.5,53.5,187,69.8,94.65,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",8630,Annealed(1550F),"81,750","54,000",563.65,372.32,29,58.9,156,70.2,95.19,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",8650,Normalized(1600F),"148,500","99,750",1023.87,687.75,14,40.4,302,10,13.56,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",8650,Annealed(1465F),"103,750","56,000",715.33,386.11,22.5,46.4,212,21.7,29.43,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",8740,Normalized(1600F),"134,750","88,000",929.07,606.74,16,47.9,269,13,17.63,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",8740,Annealed(1500F),"100,750","60,250",694.65,415.41,22.2,46.4,201,29.5,40,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",9255,Normalized(1650F),"135,250","84,000",932.52,579.16,19.7,43.4,269,10,13.56,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",9255,Annealed(1550F),"112,250","70,500",773.94,486.08,21.7,41.1,229,6.5,8.81,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",9310,Normalized(1630F),"131,500","82,750",906.66,570.54,18.8,58.1,269,88,119.33,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 467",9310,Annealed(1550F),"119,000","63,750",820.48,439.54,17.3,42.1,241,58,78.65,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",201.0-T7,,60,50,413.69,344.74,3,125,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",204.0-T4,,45,28,310.26,193.05,6,,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",208.0-F,,19,12,131,82.74,1.5,55,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",222.0-O,,23,,158.58,,,80,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",222.0-T61,,30,,206.84,,,115,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",242.0-O,,23,,158.58,,,70,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",242.0-T571,,29,,199.95,,,85,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",242.0-T61,,32,20,220.63,137.9,,105,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",242.0-T77,,24,13,165.47,89.63,1,75,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",295.0-T4,,29,13,199.95,89.63,6,60,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",295.0-T6,,32,20,220.63,137.9,3,75,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",295.0-T62,,36,28,248.21,193.05,,95,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",295.0-T7,,29,16,199.95,110.32,3,70,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",319.0-F,,23,13,158.58,89.63,1.5,70,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",319.0-T5,,25,,172.37,,,80,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",319.0-T6,,31,20,213.74,137.9,1.5,80,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",328.0-F,,25,14,172.37,96.53,1,60,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",328.0-T6,,34,21,234.42,144.79,1,80,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",355.0-T51,,25,18,172.37,124.11,,65,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",355.0-T6,,32,20,220.63,137.9,2,87.5,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",355.0-T7,,35,,241.32,,,85,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",355.0-T71,,30,22,206.84,151.68,,77.5,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",C355.0.0-T6,,36,25,248.21,172.37,2.5,90,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",356.0-F,,19,,131,,2,55,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",356.0-T51,,23,16,158.58,110.32,,60,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",356.0-T6,,30,20,206.84,137.9,3,72.5,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",356.0-T7,,31,29,213.74,199.95,,75,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",356.0-T71,,25,18,172.37,124.11,3,60,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",A356.0.0-T6,,34,24,234.42,165.47,3.5,87.5,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",443.0-F,,17,7,117.21,48.26,3,40,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",B443.0.0-F,,17,6,117.21,41.37,3,40,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",512.0-F,,17,10,117.21,68.95,,50,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",514.0-F,,22,9,151.68,62.05,6,50,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",520.0-T4c,,42,22,289.58,151.68,12,75,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",535.0-F or T5,,35,18,241.32,124.11,9,75,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",705.0-F or T5,,30,17,206.84,117.21,5,65,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",707.0-T5,,33,22,227.53,151.68,2,85,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",707.0-T7,,37,30,255.11,206.84,1,80,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",710.0-F or T5,,32,20,220.63,137.9,2,75,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",712.0-F or T5,,34,25,234.42,172.37,4,75,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",713.0-F or T5,,32,22,220.63,151.68,3,75,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",771.0-T5,,42,38,289.58,262,1.5,100,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",771.0-T51,,32,27,220.63,186.16,3,85,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",771.0-T52,,36,30,248.21,206.84,1.5,85,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",771.0-T53,,36,27,248.21,186.16,1.5,,,,,,,,
